customerId,comment,orderdate,next_purchase_days,non-meals,total_meat,total_white_meat,total_fish,total_vegetarian,total_vegan,language,totalLunch,TotalDinner,total_discounts,total_vouchers,mealPrice,voucherDiscount,planos,creditos,email_newsletter_weekly,email_marketing,classification,churn
1340,a sugestão é que a refeição fosse feita por um cozinheiro/a.,2023-12-14T00:00:00Z,4,155,0,64,20,4,2,en,337,6,0,0,1687.1,0,0,0,TRUE,TRUE,M,FALSE
2399,Batatas muito secas e vinha frio,2023-12-14T00:00:00Z,1,5,0,13,8,0,0,pt,39,0,6,0,222.1,0,5,0,TRUE,TRUE,M,FALSE
3327,Mais pontualidade e maior dose de carne neste prato,2023-12-14T00:00:00Z,1,7,0,59,42,16,3,pt,163,17,4,26,1096.7125,138.74,1,0,TRUE,TRUE,M,FALSE
5577,"18 MINUTOS PARA ALÉM DO LIMITE MAXIMO. SEM AVISO DE ATRAS, E SEM PEDIDO DE DESCULPA",2023-12-14T00:00:00Z,4,57,0,155,28,0,1,pt,323,3,0,5,2023.1632,23.76,0,0,FALSE,TRUE,0,FALSE
1,Tempo de espera,2023-12-13T00:00:00Z,0,0,0,0,0,0,1,pt,1,0,0,1,2.07,4.83,0,0,TRUE,TRUE,F,FALSE
29,"às vezes menos é mais, bastava uma receita mais basica de gnochi para satisfazer a vontade de comer este tipo de prato - tipo carbonara, bolonhesa, pesto.",2023-12-13T00:00:00Z,0,2,0,0,0,1,0,en,5,0,0,0,26.35,0,0,0,TRUE,TRUE,F,FALSE
121,The was about 1/3 of the bowl + it was not really what I expected from a fish soup,2023-12-13T00:00:00Z,0,5,0,1,10,5,4,en,25,0,3,0,132.25,0,3,0,TRUE,TRUE,F,FALSE
146,As opções são sempre boas e somente hjoe estava ruim,2023-12-13T00:00:00Z,5,1,0,8,0,3,0,pt,22,0,0,0,160.65,0,0,0,TRUE,TRUE,F,FALSE
151,Iniciar periodo de entregas às 12h,2023-12-13T00:00:00Z,0,0,0,8,0,0,0,pt,12,0,0,3,71.07,20.23,0,1,TRUE,TRUE,M,FALSE
280,Sabor era chouriço estava muito intenso,2023-12-13T00:00:00Z,29,0,0,6,1,0,0,pt,8,0,0,0,65.2,0,0,0,TRUE,TRUE,M,FALSE
386,Entregar comida mais quente e melhor cozinhada neste prato.,2023-12-13T00:00:00Z,0,2,0,6,14,0,0,pt,29,1,0,0,233.05,0,0,0,TRUE,TRUE,M,FALSE
485,aumentar a dose servida - comida e perceção de qualidade de alimentos boa.,2023-12-13T00:00:00Z,0,4,0,11,2,5,0,pt,31,0,0,10,164.525,39.02,0,0,FALSE,FALSE,M,FALSE
489,Batatas cruas,2023-12-13T00:00:00Z,6,1,0,13,2,1,2,pt,33,0,0,0,240.15,0,0,0,FALSE,FALSE,F,FALSE
1184,Refeição entregue depois da hora prevista. Recebi a mensagem a informar que o almoço tinha sido entregue e na verdade só chegou bastante depois...,2023-12-13T00:00:00Z,7,3,0,29,4,3,4,pt,49,0,0,3,317.975,17.27,0,0,FALSE,TRUE,F,FALSE
1726,"adoro gnocchi mas este nao estva nada bom, para la´me do molho estar salgado e parecer que deitaram uma lata de conserva, o chouriço tinha pedaçõs que sabiam muito mal sabiam a gordura rançosa.",2023-12-13T00:00:00Z,0,14,0,3,6,20,2,pt,45,2,0,2,264.705,6.65,0,0,TRUE,TRUE,F,FALSE
4487,Almoço trocado não era o meu e aconteceu 2 dias seguidos,2023-12-13T00:00:00Z,5,2,0,15,8,11,10,pt,38,29,0,6,450.68,19.17,0,0,TRUE,TRUE,0,FALSE
5011,"Eu era um consumidor frequente do Eat mas infelizm acho que neste momento a vossa oferta é pouco interessante. Muitos pratos desapareceram da lista e agora é sempre a mesma coisa, à base de frango e pouco mais. Percebo que precisem de controlar custos mas será esta a melhor opção? Não seria melhor aumentar os preços e manter a oferta mais variada? Eu já raramente encomendo, e é pena porque gosto do vosso serviço",2023-12-13T00:00:00Z,0,162,0,44,92,41,26,pt,299,90,1,21,1946.8441,121.8,0,0,FALSE,TRUE,M,FALSE
7377,Delicioso!!,2023-12-13T00:00:00Z,1,2,0,35,17,3,9,pt,68,7,9,7,409.775,34.22,10,0,FALSE,FALSE,M,FALSE
9749,"Pouco sabor, totalmente sem graça",2023-12-13T00:00:00Z,7,16,0,9,6,8,0,pt,50,0,0,8,256.255,18.75,0,0,FALSE,FALSE,F,FALSE
27,A jardineira estava estragada (azeda e a carne mal cozinhada),2023-12-12T00:00:00Z,1,64,0,12,8,7,2,pt,115,1,2,0,0,0,0,0,TRUE,TRUE,M,FALSE
35,great meal,2023-12-12T00:00:00Z,0,6,0,7,0,0,0,en,18,0,1,0,65.1,0,0,0,TRUE,TRUE,M,FALSE
89,"Food wasn't proper for consumption, sauce was foamy as if it was fermenting and the smell was just nauseating.",2023-12-12T00:00:00Z,2,6,0,20,3,0,0,en,42,0,1,0,173.85,0,0,0,FALSE,FALSE,M,FALSE
90,em vez da mozarella foi entrege lombo de porco com brócolos :-) como a entrega já foi tarde não deu para trocar. Mas estava tudo excelente,2023-12-12T00:00:00Z,1,15,0,10,4,0,1,en,24,10,1,0,151.85,0,1,0,TRUE,TRUE,F,FALSE
327,"A comida estava toda gorduroza, não só o franco mas o arroz também",2023-12-12T00:00:00Z,0,1,0,2,0,0,0,pt,1,3,0,0,25.65,0,0,0,TRUE,TRUE,0,FALSE
428,A carne não estava muito boa e a massa estava bastante seca e colada,2023-12-12T00:00:00Z,1,0,0,26,6,13,10,pt,61,0,0,4,426.01,22.99,0,0,FALSE,FALSE,M,FALSE
836,Uma delícia como já estou habituado.,2023-12-12T00:00:00Z,9,1,0,4,1,10,0,pt,35,3,0,0,236.45,0,0,0,TRUE,TRUE,0,FALSE
1227,"muito bom, excelente carne e bons temperos no pão",2023-12-12T00:00:00Z,9,9,0,12,15,1,1,pt,44,0,13,3,221.25,19.7,16,0,TRUE,TRUE,0,FALSE
1234,Da próxima vez coloquem bacalhau.,2023-12-12T00:00:00Z,0,2,0,7,11,0,1,pt,0,35,0,0,256.85,0,0,0,TRUE,TRUE,M,FALSE
1751,Não dei zero estrelas porque não é possível. A jardineira estava estragada. Foi diretamente para o lixo. A comida cheirava mal e estava azeda.,2023-12-12T00:00:00Z,31,0,0,10,7,11,3,pt,35,0,0,2,238.16,8.84,0,0,TRUE,TRUE,0,TRUE
1805,It didn't taste like lasagna,2023-12-12T00:00:00Z,0,7,0,16,6,7,4,en,57,0,1,0,212.8,0,0,0,FALSE,FALSE,F,FALSE
2271,A sopa estava fria,2023-12-12T00:00:00Z,34,8,0,6,0,4,0,pt,19,0,0,0,96.75,0,0,0,FALSE,FALSE,0,TRUE
3155,"Não cheguei a comer, quando aqueci cheirou-me a qualquer coisa azeda, pelo que detei para o lixo",2023-12-12T00:00:00Z,1,118,0,177,59,7,5,pt,442,0,0,5,2658.1,11.35,0,15,TRUE,TRUE,M,FALSE
5185,Cheirava e sabia mal não consegui comer estava horrível.,2023-12-12T00:00:00Z,13,11,0,19,3,0,0,pt,56,0,9,1,289.4,5.9,8,0,TRUE,FALSE,0,FALSE
6364,"A senhora reclamou comigo por eu não ter descido as escadas, embora eu tenha dito que estava em reunião e disse que para a próxima não subia. Fiquei a pensar se valeria a pena encomendar comida daí de novo.",2023-12-12T00:00:00Z,0,0,0,4,1,0,0,en,5,0,0,0,40,0,0,0,TRUE,TRUE,F,FALSE
7180,"Muito molho, pouco conteúdo.",2023-12-12T00:00:00Z,3,0,0,12,3,8,10,pt,50,0,0,1,333.35,1,0,3,FALSE,FALSE,F,FALSE
14,"Comida fria, atraso enorme na entrega (novamente) e parecia que tinha sido cozinhado há 2 dias",2023-12-11T00:00:00Z,11,1,0,1,0,1,0,pt,7,0,0,3,32.96,14.34,0,0,TRUE,TRUE,M,FALSE
62,"inedible,very hard",2023-12-11T00:00:00Z,1,90,0,25,1,2,1,en,157,2,2,0,0,0,0,0,TRUE,TRUE,M,FALSE
81,"No sauce, dry, no batatas, please remove these 3 chips you put with : )",2023-12-11T00:00:00Z,1,73,0,17,13,6,6,en,153,0,1,0,0,0,0,0,FALSE,FALSE,M,FALSE
291,Ingredientes a faltar no hambúrguer. Comida fria e batatas moles,2023-12-11T00:00:00Z,1,6,0,2,5,1,0,pt,18,0,0,4,75.4,24.65,0,0,FALSE,FALSE,F,FALSE
350,Demorou a entrega,2023-12-11T00:00:00Z,0,3,0,3,2,0,0,pt,10,0,0,0,66,0,0,0,TRUE,TRUE,F,FALSE
432,o sabor não estava bom. E não estava de acordo com a imagem.,2023-12-11T00:00:00Z,39,1,0,13,5,1,0,pt,26,0,0,0,187.55,0,0,0,TRUE,TRUE,M,TRUE
433,A quantidade de batatas deste prato é mt pouca,2023-12-11T00:00:00Z,1,8,0,95,13,6,0,pt,209,0,1,0,81.3,0,0,0,TRUE,TRUE,F,FALSE
635,"o sabor não estava bom, um pouco azedo, não consegui comer nem metade, as quantidades mudaram radicalmente",2023-12-11T00:00:00Z,18,4,0,14,3,2,0,pt,34,0,4,0,201.25,0,4,0,TRUE,TRUE,F,FALSE
2527,Informar a hora exata da confeção e/ou colocação dos alimentos na caixa.,2023-12-11T00:00:00Z,0,1,0,1,0,1,0,pt,5,0,0,0,31.05,0,0,0,TRUE,TRUE,0,FALSE
8863,Poucos legumes,2023-12-11T00:00:00Z,0,38,0,21,21,10,10,pt,111,10,0,19,589.002,67.16,0,4,FALSE,FALSE,F,FALSE
582,Aumentar a quantidade de salmão. Tudo o resto estava excelente,2023-12-07T00:00:00Z,21,1,0,4,4,3,0,pt,15,0,0,0,109,0,0,0,TRUE,TRUE,F,FALSE
1297,O gosto da carne não combinou com o molho na minha opinião,2023-12-07T00:00:00Z,0,2,0,1,1,0,0,pt,4,0,0,0,21.15,0,0,0,FALSE,FALSE,F,FALSE
2970,"Não tem muito sabor, o arroz com o molho de tomate fica muito insípido",2023-12-07T00:00:00Z,5,7,0,58,11,3,0,pt,116,4,0,2,718.735,114.01,0,0,FALSE,TRUE,M,FALSE
3241,Está sempre óptimo!,2023-12-07T00:00:00Z,11,7,0,51,27,30,33,pt,180,0,0,8,1131.75,33.15,0,0,FALSE,FALSE,F,FALSE
3276,It's fine. Not spectacular,2023-12-07T00:00:00Z,0,0,0,1,0,0,0,en,1,0,0,0,6.9,0,0,0,FALSE,FALSE,M,FALSE
3541,Apesar da qualidade se manter nota-se que piorou ou na quantidade ou no tipo os ingredientes. Por ex o sushi já tem muitos elemetos vegetais e poucos com peixe. Já foi melhor.,2023-12-07T00:00:00Z,13,9,0,15,59,11,8,pt,117,0,0,1,870.14,1.31,0,0,TRUE,FALSE,F,FALSE
4354,"Ao avisar que vai chegar atrasado, deveria dar para alterar a forma/local de entrega.",2023-12-07T00:00:00Z,0,0,0,2,0,2,0,pt,2,5,0,2,37.815,6.78,0,0,FALSE,FALSE,F,FALSE
4961,"melhorem os v/ serviços, sou cliente há anos mas ultimamente são constantes os longos atrasos e ficar sem almoçar como hoje nunca tinha acontecido. Anteriormente o V/ serviço era excelente, olhem para o que faziam",2023-12-07T00:00:00Z,18,14,0,33,168,16,25,pt,261,1,0,8,1697.165,268.43,0,0,TRUE,TRUE,0,FALSE
5666,Atraso de meia hora,2023-12-07T00:00:00Z,6,2,0,5,8,27,35,pt,77,2,0,16,453.5791,61.83,0,0,FALSE,FALSE,0,FALSE
6040,Atraso na entrega e embalagem danificada,2023-12-07T00:00:00Z,14,107,0,52,81,4,0,pt,260,134,0,14,2213.06644,72.68,0,0,FALSE,TRUE,0,FALSE
2,O lombo e os espinafres com pouco sal,2023-12-06T00:00:00Z,0,0,0,0,0,0,0,pt,1,0,0,0,8.4,0,0,0,TRUE,TRUE,F,FALSE
150,"Demasiado molho de tomate, na imagem vinham só legumes assados",2023-12-06T00:00:00Z,0,1,0,2,0,0,1,pt,4,0,0,0,24.1,0,0,0,FALSE,FALSE,F,FALSE
1249,Sabia a churrasco,2023-12-06T00:00:00Z,41,12,0,21,8,3,0,pt,15,35,0,1,310.75,7.5,0,0,FALSE,FALSE,0,TRUE
1869,Legumes queimados e com mau sabor,2023-12-06T00:00:00Z,0,5,0,5,9,7,4,pt,0,35,0,0,234.3,0,0,0,TRUE,TRUE,M,FALSE
2470,Terem mais qualidade e quantidade,2023-12-06T00:00:00Z,0,9,0,4,6,0,1,pt,0,23,0,2,117.79,12.16,0,0,TRUE,TRUE,F,FALSE
3104,Gostei muito desta salada. Boa dose.,2023-12-06T00:00:00Z,16,28,0,39,27,8,0,pt,85,43,0,33,689.9775,87.72,0,0,FALSE,FALSE,F,FALSE
10181,Francamente mau. Diria mesmo o pior de sempre. A comida tinha um cheiro e um sabor esquisitos. Tinha bocadinhos de queimado. Enfim. Espero que não me faça mal.,2023-12-06T00:00:00Z,5,6,2,294,139,53,18,pt,548,0,11,17,3404.3972,58.15,13,24,TRUE,TRUE,0,FALSE
104,"Fazer o strogonoff brasileiro de verdade, com creme de leite e batata palha, usar uma carne boa ou frango!",2023-12-05T00:00:00Z,1,0,0,43,1,0,0,pt,86,0,0,1,0,665.05,0,0,FALSE,FALSE,M,FALSE
326,"Estava semi-vazio o prato hoje. E o do meu colega, estrogonoff tbm, mesma coisa. Se não tiverem suficiente, não vendam, mas nao entreguem estas doses ridículas",2023-12-05T00:00:00Z,6,0,0,9,41,8,0,pt,95,0,8,38,531.01,35.86,8,0,TRUE,TRUE,M,FALSE
444,"It was absolutely cold, the bread is too big, chips were wet from the burger.",2023-12-05T00:00:00Z,0,2,0,4,0,1,0,en,11,0,0,2,60.07,8.43,0,0,FALSE,FALSE,F,FALSE
559,A carne tinha bastante gordura e o molho estava espesso,2023-12-05T00:00:00Z,1,0,0,29,36,22,9,pt,119,0,14,2,692.3,11.8,13,0,TRUE,TRUE,F,FALSE
1390,Entregaram depois do tempo estimado e mandaram mensagem a dizer que tinha chegado quase 30 mins antes de realmente ter chegado,2023-12-05T00:00:00Z,7,0,0,33,7,0,0,pt,70,0,0,2,477.01,41.49,0,0,FALSE,FALSE,M,FALSE
2362,Cogumelos não muito bons; abacate demasiado maduro e oxidado,2023-12-05T00:00:00Z,0,3,0,1,0,3,3,pt,6,4,0,0,59.4,0,0,0,TRUE,TRUE,F,FALSE
3431,Atenção proporção entre proteína e hidratos,2023-12-05T00:00:00Z,13,7,0,28,5,1,1,pt,61,2,0,5,395.7375,7.57,0,0,TRUE,TRUE,0,FALSE
5338,"A refeição parecia uma mini-dose, 4 folha de espinafres, 3 pedacinhos de carne... Sinceramente parecia que foram os restos de outra dose. A caixa vinha a menos de meia. Confesso que a qualidade das refeições  tem vindo a piorar de semana para semana, mas hoje além da qualidade, a quantidade foi completamente desajustada.",2023-12-05T00:00:00Z,1,238,0,178,207,142,120,pt,1126,0,15,14,6100.75075,263,15,0,FALSE,FALSE,0,FALSE
6557,massa crua e pouco frango,2023-12-05T00:00:00Z,0,2,0,30,2,4,5,pt,67,3,0,9,393.96,45.09,0,0,FALSE,FALSE,M,FALSE
8198,"A sopa vinha muito pouca quantidade, menos de metade da embalagem",2023-12-05T00:00:00Z,23,20,0,23,9,3,0,pt,76,2,0,17,389.955,44.05,0,2,TRUE,TRUE,F,FALSE
10537,"Entreguem o almoço antes ou perto das 13h, para permitir que as pessoas tenham tempo para almoçar antes dos compromissos da tarde.",2023-12-05T00:00:00Z,2,12,2,27,25,18,8,pt,108,0,9,5,594.185,14.67,8,8,FALSE,FALSE,M,FALSE
5,"Sobre a sopa, haver em maior quantidade",2023-12-04T00:00:00Z,23,8,0,1,0,0,0,pt,13,0,0,2,58.035,3.57,0,0,TRUE,TRUE,M,FALSE
411,"A sopa estava demasiado líquida e não encontrei nenhum bocadinho de carne de porco, apenas encontrei uma tampa de plástico.",2023-12-04T00:00:00Z,0,14,0,40,25,15,7,pt,29,86,10,0,638.15,0,11,0,TRUE,TRUE,F,FALSE
550,Preço elevado para o prato que é.,2023-12-04T00:00:00Z,14,15,0,0,0,18,13,pt,42,4,0,1,238.15,1.95,0,0,TRUE,TRUE,F,FALSE
664,O pacote de soja e o de wasabi estavam fora de prazo,2023-12-04T00:00:00Z,2,2,0,2,41,21,14,pt,69,11,13,1,469.83,1.77,12,0,FALSE,FALSE,F,FALSE
716,Muito tempo a espera,2023-12-04T00:00:00Z,3,2,0,3,2,1,0,pt,9,0,2,4,36.58,9.17,2,0,FALSE,TRUE,M,FALSE
894,"Batata rija, prato a não repetir",2023-12-04T00:00:00Z,1,0,0,137,11,37,12,pt,295,0,1,0,149.8,0,0,0,TRUE,TRUE,0,FALSE
1036,Tudo otimo,2023-12-04T00:00:00Z,0,0,0,1,0,0,0,pt,1,0,0,0,7.4,0,0,0,TRUE,TRUE,F,FALSE
2265,Mais atenção à forma como serviram os elementos do prato.,2023-12-04T00:00:00Z,3,2,0,51,29,15,8,pt,103,25,0,1,960.405,9.82,0,8,TRUE,TRUE,M,FALSE
3677,Estava salgado e mole,2023-12-04T00:00:00Z,1,3,0,32,21,1,1,pt,55,24,0,0,587.15,0,0,0,FALSE,FALSE,0,FALSE
8826,Estafetas que nem falam português é inadmissível.,2023-12-04T00:00:00Z,2,15,0,394,193,46,25,pt,837,1,0,11,6135.64,46.46,0,45,FALSE,FALSE,M,FALSE
8840,menos sal,2023-12-04T00:00:00Z,18,0,0,3,1,3,0,pt,14,0,0,2,72.88,17.7,0,0,FALSE,FALSE,F,FALSE
3,Não tive a oportunidade de experimentar o Mini Bowl de Mozzarella e Pesto e paguei por uma sopa que não comi por preço superior,2023-11-30T00:00:00Z,28,1,0,1,0,0,0,pt,3,0,0,2,10.32,7.38,0,0,TRUE,TRUE,F,FALSE
86,"Too liquid sauce, meat's taste was really strong and not fresh",2023-11-30T00:00:00Z,0,87,0,52,9,0,1,en,131,50,1,0,0,0,0,0,TRUE,TRUE,0,FALSE
784,A comida estava muito oleosa. Nunca me tinha acontecido..,2023-11-30T00:00:00Z,13,0,0,14,0,1,2,pt,22,0,0,3,134.895,20.26,0,0,FALSE,FALSE,0,FALSE
917,"O molho da massa tem um sabor muito intenso a tomate, mas tomate cru, o molho está pouco cozinhado.",2023-11-30T00:00:00Z,0,18,0,13,3,3,2,pt,42,2,0,5,213.68,28.46,0,0,TRUE,TRUE,F,FALSE
964,"Tendo em conta o incidente por parte do estafeta e o tempo que mesmo assim demorou a entregar (1h:30m), acho que existe aqui espaço para melhoria no processo de entregas",2023-11-30T00:00:00Z,6,1,0,8,1,0,0,pt,14,0,0,4,83.72,16.57,0,0,FALSE,TRUE,0,FALSE
1171,I was cold,2023-11-30T00:00:00Z,0,12,0,21,0,5,1,en,48,0,0,0,271.45,0,0,0,TRUE,TRUE,F,FALSE
1270,"Devem enviar os produtos pelos quais paguei, e não outros que não pedi em substituição.",2023-11-30T00:00:00Z,0,8,0,8,0,0,0,pt,16,0,0,0,71.1,0,0,0,FALSE,FALSE,M,FALSE
1443,"Comparando com pedidos anteriores, baixou consideravelmente de qualidade. Foi entregue uma embalagem praticamente cheia de arroz com molho, pouca carne e espinafres quase inexistentes.",2023-11-30T00:00:00Z,0,3,0,30,14,15,18,pt,100,11,1,6,722.649,39.87,0,0,TRUE,TRUE,0,FALSE
1550,A entrega do almoço,2023-11-30T00:00:00Z,6,2,0,24,16,9,21,pt,74,0,0,0,525.15,0,0,0,FALSE,FALSE,0,FALSE
2950,Entrega e gestao informaçao,2023-11-30T00:00:00Z,0,3,0,8,4,2,1,pt,25,0,0,5,148.79,22.71,0,0,TRUE,TRUE,M,FALSE
3194,Não gostei do prato,2023-11-30T00:00:00Z,4,11,0,33,10,0,6,pt,22,58,0,5,505.21,16.14,0,0,FALSE,FALSE,F,FALSE
3354,"O almoço chegou no limite máximo do tempo de entrega e chegou, mais uma vez, quase frio",2023-11-30T00:00:00Z,0,5,0,13,5,1,0,pt,32,4,0,3,236.57,6.23,0,0,TRUE,TRUE,0,FALSE
4548,A dose de salmão era pequena em comparação com a quantidade de arroz.,2023-11-30T00:00:00Z,6,10,0,17,18,1,0,pt,33,21,0,4,348.61,22.29,0,0,TRUE,TRUE,M,FALSE
4775,Please give a notice of delays are expected,2023-11-30T00:00:00Z,5,16,0,57,25,4,3,en,133,3,0,1,874.3,5.4,0,0,FALSE,FALSE,M,FALSE
6949,Estava bastante oleoso,2023-11-30T00:00:00Z,14,55,0,46,10,2,2,pt,133,0,0,1,571.06,0.59,0,2,FALSE,TRUE,F,FALSE
7883,1a hora estimada de entrega era ~15:20,2023-11-30T00:00:00Z,0,1,0,4,0,0,0,pt,9,0,0,0,58.5,0,0,0,FALSE,FALSE,M,FALSE
8616,Atraso. Chegou cerca de 30min depois da hora máxima estimada,2023-11-30T00:00:00Z,0,1,0,42,6,1,0,pt,108,0,0,7,617.6,19.69,0,5,FALSE,FALSE,M,FALSE
10900,a comida não tinha sabor,2023-11-30T00:00:00Z,0,0,0,13,8,0,0,pt,29,0,0,1,179.1,1,0,6,FALSE,TRUE,0,FALSE
11316,Não gostei,2023-11-30T00:00:00Z,0,1,0,5,3,4,4,pt,33,0,0,9,176.33,28.72,0,8,FALSE,FALSE,F,FALSE
11494,"não faço ideia, só sei que não estava nada bom, não consegui comer nada",2023-11-30T00:00:00Z,22,14,2,16,4,8,2,pt,55,0,0,1,275.2,7.9,0,0,FALSE,FALSE,0,FALSE
15,"Carne com demasiado sal, para meu gosto.",2023-11-29T00:00:00Z,1,0,0,6,2,0,1,pt,12,0,1,9,72.675,8.62,0,0,FALSE,FALSE,0,FALSE
17,Deveria ser possível reutilizar as embalagens de plástico ou entregar as antigas para reutilização.,2023-11-29T00:00:00Z,0,44,0,33,14,2,1,pt,112,7,3,1,540.575,1.47,3,3,FALSE,TRUE,M,FALSE
41,"Pouca quantidade, ao contrário do que é costume.",2023-11-29T00:00:00Z,6,4,0,5,1,3,2,pt,23,0,0,0,134.75,0,0,0,FALSE,FALSE,M,FALSE
118,As lentilhas estavam quase cruas….,2023-11-29T00:00:00Z,5,1,0,11,3,7,1,pt,30,0,4,1,169.15,7.9,4,0,TRUE,TRUE,F,FALSE
602,O sumo estava aguado e parecia ser sumo instantaneo (pó + água). Má experiencia.,2023-11-29T00:00:00Z,13,19,0,12,4,1,4,pt,41,0,0,1,174.11,0.79,0,0,TRUE,TRUE,M,FALSE
873,Demasiada batata,2023-11-29T00:00:00Z,22,0,0,3,1,1,1,pt,7,0,0,0,50.6,0,0,0,FALSE,FALSE,F,FALSE
1237,"A sopa era muito pouca quantidade. Dizia pelo menos 250 de pelo líquido, mas a embalagem com a sopa pesavam só 200. Não vale a pena",2023-11-29T00:00:00Z,0,2,0,1,0,0,0,pt,4,0,0,0,21.65,0,0,0,FALSE,FALSE,F,FALSE
